	Pokemon	Yu-Gi-Oh	One Piece	Lorcana	Riftbound	Magic
Feb 2024	100.0	100.0	100.0	100.0	0.0	100.0
Mar 2024	100.0	100.0	100.0	100.0	0.0	100.0
Apr 2024	100.0	100.0	94.5	94.5	0.0	100.0
May 2024	100.0	100.0	91.7	88.9	0.0	100.0
Jun 2024	99.9	100.0	89.4	81.9	0.0	100.0
Jul 2024	100.0	100.0	82.4	80.0	0.0	100.0
Aug 2024	100.0	100.0	75.6	76.9	0.0	100.0
Sep 2024	100.0	100.0	72.7	80.7	0.0	100.0
Oct 2024	100.0	100.0	71.4	81.2	0.0	100.0
Nov 2024	100.0	100.0	68.2	77.8	0.0	100.0
Dec 2024	102.1	100.0	68.6	79.7	0.0	100.0
Jan 2025	105.3	100.0	71.3	75.0	0.0	101.2
Feb 2025	110.5	98.6	72.7	80.0	0.0	102.5
Mar 2025	115.0	98.7	76.2	84.2	0.0	104.4
Apr 2025	118.9	100.0	75.4	85.7	0.0	106.1
May 2025	122.2	100.0	72.7	80.8	0.0	107.1
Jun 2025	125.0	99.4	70.8	74.5	0.0	107.1
Jul 2025	126.1	97.7	73.9	73.7	0.0	107.3
Aug 2025	130.8	97.9	71.4	75.0	0.0	110.0
Sep 2025	135.0	96.4	71.4	73.1	0.0	111.5
Oct 2025	138.8	96.2	74.7	74.2	0.0	112.5
Nov 2025	141.2	96.4	76.7	69.4	100.0	112.6
Dec 2025	142.3	96.3	77.3	64.6	69.7	113.3
Jan 2026	146.1	97.1	82.1	62.5	61.1	115.3
Feb 2026	151.3	98.7	90.0	62.1	45.5	117.4
Mar 2026	160.0	100.0	92.3	63.3	50.0	122.7
Apr 2026	167.0	100.0	92.3	65.4	59.7	127.7
May 2026	175.4	101.2	95.8	68.6	60.0	132.0
Jun 2026	185.1	104.5	88.9	66.7	50.0	136.4
Jul 2026	200.0	107.4	100.0	73.5	46.0	142.0
