	Pokemon	Yu-Gi-Oh	One Piece	Lorcana	Riftbound	Magic
Feb 2024	0.0	0.0	0.0	0.0	0.0	0.0
Mar 2024	0.0	0.0	0.0	-0.058	0.0	0.0
Apr 2024	0.0	-0.004	0.006	-0.069	0.0	0.006
May 2024	0.005	-0.003	-0.021	-0.059	0.0	0.014
Jun 2024	0.011	-0.013	-0.063	-0.078	0.0	0.025
Jul 2024	0.022	-0.015	-0.147	-0.071	0.0	0.034
Aug 2024	0.034	-0.016	-0.284	-0.045	0.0	0.046
Sep 2024	0.045	-0.013	-0.262	-0.048	0.0	0.052
Oct 2024	0.054	-0.008	-0.289	0.009	0.0	0.063
Nov 2024	0.075	-0.021	-0.293	0.034	0.0	0.082
Dec 2024	0.111	-0.018	-0.29	-0.036	0.0	0.095
Jan 2025	0.17	-0.016	-0.274	-0.03	0.0	0.111
Feb 2025	0.249	-0.016	-0.26	-0.044	0.0	0.133
Mar 2025	0.353	-0.017	-0.285	0.007	0.0	0.144
Apr 2025	0.477	-0.013	-0.215	-0.008	0.0	0.157
May 2025	0.534	-0.019	-0.19	-0.062	0.0	0.163
Jun 2025	0.633	-0.031	-0.183	-0.057	0.0	0.172
Jul 2025	0.722	-0.016	-0.181	-0.095	0.0	0.192
Aug 2025	0.824	-0.015	-0.205	-0.094	0.0	0.201
Sep 2025	0.955	-0.008	-0.222	-0.125	0.0	0.214
Oct 2025	1.072	-0.017	-0.207	-0.063	0.0	0.234
Nov 2025	1.173	-0.014	-0.056	-0.089	0.0	0.258
Dec 2025	1.275	-0.024	0.011	-0.133	0.286	0.294
Jan 2026	1.333	-0.027	0.174	-0.177	0.301	0.334
Feb 2026	1.421	-0.037	0.495	-0.18	0.096	0.368
Mar 2026	1.537	-0.058	0.634	-0.148	-0.04	0.392
Apr 2026	1.634	-0.052	0.649	-0.134	0.077	0.416
May 2026	1.77	-0.05	0.691	-0.112	0.067	0.44
Jun 2026	1.936	-0.034	0.827	-0.125	-0.154	0.493
Jul 2026	2.162	0.006	1.05	-0.084	0.227	0.567
