	Pokemon	Yu-Gi-Oh	One Piece	Lorcana	Riftbound	Magic
Feb 2024	0.0	0.0	0.0	0.0	0.0	0.0
Mar 2024	0.0	0.0	0.0	0.0	0.0	0.0
Apr 2024	0.0	0.0	-6.0	-5.3	0.0	0.0
May 2024	0.0	0.0	-8.5	-11.1	0.0	0.0
Jun 2024	-0.2	0.0	-10.9	-18.7	0.0	0.0
Jul 2024	0.0	0.0	-17.8	-20.9	0.0	0.0
Aug 2024	0.0	0.0	-24.1	-24.0	0.0	0.0
Sep 2024	0.0	0.0	-27.3	-20.0	0.0	0.0
Oct 2024	0.0	0.0	-28.6	-19.4	0.0	0.0
Nov 2024	0.0	0.0	-32.1	-22.6	0.0	0.0
Dec 2024	1.6	0.0	-31.6	-21.0	0.0	0.0
Jan 2025	4.8	0.0	-28.8	-25.0	0.0	0.9
Feb 2025	10.0	-1.4	-27.3	-20.0	0.0	2.2
Mar 2025	14.4	-1.3	-23.7	-16.7	0.0	4.3
Apr 2025	18.2	0.0	-24.6	-14.9	0.0	5.9
May 2025	21.4	0.0	-27.6	-20.0	0.0	6.9
Jun 2025	24.0	-0.5	-30.0	-26.2	0.0	7.0
Jul 2025	25.0	-2.3	-26.6	-26.9	0.0	7.1
Aug 2025	30.0	-2.1	-28.6	-25.8	0.0	10.0
Sep 2025	33.8	-3.6	-29.4	-27.3	0.0	11.1
Oct 2025	37.8	-3.8	-25.9	-26.3	0.0	12.5
Nov 2025	40.0	-3.6	-24.9	-30.8	0.0	12.5
Dec 2025	41.1	-3.7	-23.8	-36.4	-21.6	13.2
Jan 2026	44.4	-2.9	-19.1	-38.3	-32.4	15.0
Feb 2026	50.0	-1.2	-12.0	-38.4	-49.6	17.1
Mar 2026	58.7	0.0	-9.8	-37.5	-46.3	22.5
Apr 2026	65.6	0.0	-9.7	-34.9	-38.7	27.4
May 2026	73.9	1.4	-7.9	-31.7	-39.7	31.8
Jun 2026	82.9	4.5	-12.5	-33.3	-55.2	36.1
Jul 2026	98.0	7.6	0.0	-27.2	-50.9	41.7
